product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,rtings_price,availability
66546,13720,,B0D2LXLN75,,,direct_link
96306,14136,,B0F1435R1F,6619487,259.99,in_stock
88033,14138,,B0DVM3BJHK,6619365,1299.99,in_stock
94531,14289,,B0DSTPTMNS,,455.0,amazon
96307,14367,,B0F1GD9YFN,,349.99,amazon
94176,14435,,B0F6724X5N,,799.99,amazon
77245,14602,,B0C1SDSYV6,6606085,499.99,in_stock
88032,14760,,B0DWYC5S8X,6623962,899.99,in_stock
94439,14954,,B0F1GFD44G,,321.64,amazon
96735,15240,,B0F1GF1KFC,,279.99,amazon
97892,15381,,B0DVJ3WG52,,189.99,third_party
113604,15430,,B0DYQMWSKG,,996.99,amazon
100486,15530,,B0BSH3JKQB,,,direct_link
88588,15639,,B0FB46P6F6,,499.99,amazon
113401,15684,,,,,direct_link
117624,15807,,B0FLLNVXFG,,599.99,amazon
91962,15839,,B0F23LR6JQ,,1289.99,amazon
101013,15884,,B0FVPX9LFN,11288541,539.99,in_stock
101122,15987,,B0FSDC2S6B,,1301.99,third_party
126616,16064,,B0GD21577Z,,247.69,amazon
96305,16076,,B0F146MYKD,,219.99,amazon
127358,16077,,,,,direct_link
126131,16111,,B0FLM15Q5L,,249.99,amazon
127454,16203,,,,999.99,in_stock
114001,16291,,,,,direct_link
110675,16342,,B0FX8FD62M,6668647,1099.99,in_stock
127444,16421,,,,,direct_link
133967,16469,,,,,direct_link
133967,16470,,,,1499.0,in_stock
133967,16471,,,,,no_link
133967,16472,,,,,no_link
133967,16473,,,,1799.0,in_stock
133967,16474,,,,,no_link
133968,16482,,,,3199.0,in_stock
133968,16483,,,,3599.0,in_stock
133968,16484,,B0GR19DXGJ,,2899.0,in_stock
133968,16485,,B0GR1FQ6JQ,,3299.0,third_party
