product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,price_date
56054,11751,34.0,B0DCWMS4HC,,1063.53,amazon,1063.53,,1063.53,,,1063.53,3938.5210999784344,2026-04-13
49896,10746,32.0,,,,,,,,,,,,2026-04-13
42065,10747,32.0,B0CV26XVMD,,945.36,amazon,945.36,,945.36,,,945.36,3348.8619223332207,2026-04-13
51510,10801,27.0,B0D1RL9D39,,,,,,,,,,,2026-04-13
62843,10849,27.0,,,,,,,,,,,,2026-04-13
49551,10904,32.0,B0CV1Y7NLT,,1482.81,amazon_3p,,,,,,1399.99,5252.735409849076,2026-04-13
63129,10918,27.0,B0D1DPFZLZ,,699.99,amazon,699.99,,699.99,,,699.99,3483.086684394677,2026-04-13
63127,10920,32.0,B0D1DSXW17,6573686,589.67,amazon,589.67,,589.67,1299.99,1299.99,1299.99,2088.8586461688988,2026-04-13
63127,11889,32.0,B0DHJ8B7TP,,1045.32,amazon,1045.32,,1045.32,,,1045.32,3702.96219921867,2026-04-13
47132,10992,32.0,B0CTSC3VS4,,871.95,amazon,871.95,,871.95,,,871.95,3088.8128894584625,2026-04-13
47132,12128,32.0,B0DPXYZYPT,6613925,899.99,bestbuy,,,,899.99,999.99,899.99,3188.1423388769094,2026-04-13
61784,11038,,B0CZWM44QP,,559.99,amazon,559.99,,559.99,,,559.99,,2026-04-13
61784,11707,,,,,,,,,,,,,2026-04-13
58174,11055,42.0,B0D3WVN6LH,,1499.99,rtings,,,,,,1499.99,3084.5353975445923,2026-04-13
60445,11430,27.0,B0CW7TM2FR,6573717,229.99,bestbuy,,,,229.99,349.99,229.99,1144.4093580535891,2026-04-13
49884,11438,32.0,B0D7NNK43H,,899.99,amazon,899.99,,899.99,,,899.99,3188.1423388769094,2026-04-13
56501,11550,27.0,B0CV24GQ9W,,269.0,amazon,269.0,,269.0,,,269.0,1338.5195761398993,2026-04-13
56501,11655,27.0,,,,,,,,,,,,2026-04-13
49885,11791,27.0,B0D7NXSQ44,,699.0,amazon,699.0,,699.0,,,699.0,3478.1605342817456,2026-04-13
64783,11812,34.0,B0D685SYKN,,749.99,amazon,749.99,,749.99,,,749.99,2777.403025559059,2026-04-13
63122,11836,32.0,B0D1DBQRRS,,551.54,amazon,551.54,,551.54,,,499.99,1953.7861816066518,2026-04-13
76425,11849,27.0,B0D9R8YPK3,,,,,,,,,,,2026-04-13
48867,11971,27.0,,,899.99,rtings,,,,,,899.99,4478.268525390885,2026-04-13
77107,12087,27.0,B0DGMQ2M1G,,,,,,,,,,,2026-04-13
72294,12115,27.0,B0D7NSZRJW,,699.99,amazon_3p,719.99,,719.99,,,719.99,3483.086684394677,2026-04-13
71604,12187,27.0,,,,,,,,,,,,2026-04-13
60431,12205,32.0,,,,,,,,,,,,2026-04-13
82807,12207,27.0,B0DMPTN8DG,,693.5,amazon,693.5,,693.5,,,693.5,3450.79303365435,2026-04-13
84697,12213,32.0,B0DTJRWVVW,6614908,999.99,bestbuy,,,,999.99,1199.99,999.99,3542.384312551829,2026-04-13
41303,12278,24.0,B0CXW2BH8C,,,,,,,,,,,2026-04-13
70557,12322,27.0,B0D682HF6R,,499.99,amazon,499.99,,499.99,,,499.99,2487.9048433984694,2026-04-13
88031,12333,,B0DM6SHQTN,,1099.99,amazon,1099.99,,1099.99,,,1099.99,,2026-04-13
88589,12349,27.0,B0F18Q2GPN,,645.99,amazon_3p,,,645.99,,,645.99,3214.387587325701,2026-04-13
88590,12350,32.0,B0FDCLPZC6,,799.69,amazon_3p,,,799.99,,,779.0,2832.8376392809655,2026-04-13
52472,12371,32.0,B0CT441B25,,899.99,amazon_3p,,,899.99,,,899.99,3188.1423388769094,2026-04-13
88487,12372,27.0,,6640501,699.99,bestbuy,,,,699.99,899.99,699.99,3483.086684394677,2026-04-13
81301,12383,27.0,B0D6C6F2L8,,736.99,amazon,736.99,,736.99,,,736.99,3667.1953249789753,2026-04-13
83695,12577,45.0,B0DYG9DKX8,,1576.99,amazon,1576.99,,1576.99,,,1576.99,2824.9052605786965,2026-04-13
88035,12578,27.0,B0DWBSNVHS,,1655.99,amazon,1655.99,,1655.99,,,1655.99,8240.05588435655,2026-04-13
97969,13639,27.0,,6617199,199.99,bestbuy,,,,199.99,299.99,199.99,995.1320819041579,2026-04-13
96004,13718,34.0,B0DZL719V1,,349.99,amazon,349.99,,349.99,,,349.99,1296.1016612427034,2026-04-13
66546,13720,32.0,B0D2LXLN75,,1039.99,amazon_3p,,,1039.99,,,,3684.081102021797,2026-04-13
96306,14136,32.0,B0F1435R1F,6619487,259.99,bestbuy,,,,259.99,319.99,259.99,920.9937073574237,2026-04-13
88033,14138,27.0,B0DVM3BJHK,6619365,874.99,amazon_3p,1299.99,,874.99,1299.99,1299.99,1299.99,4353.870795266359,2026-04-13
94531,14289,27.0,B0DSTPTMNS,,455.0,amazon,455.0,,455.0,,,455.0,2264.0386882663724,2026-04-13
96307,14367,32.0,B0F1GD9YFN,,349.99,amazon,349.99,,349.99,,,349.99,1239.8114836648515,2026-04-13
94176,14435,34.0,B0F6724X5N,,799.99,amazon,799.99,,799.99,,,799.99,2962.5656960986034,2026-04-13
77245,14602,27.0,B0C1SDSYV6,6606085,431.9,amazon_3p,499.99,,431.9,499.99,499.99,499.99,2149.0951856313104,2026-04-13
88032,14760,27.0,B0DWYC5S8X,6623962,849.99,amazon,849.99,,849.99,899.99,999.99,899.99,4229.473065141833,2026-04-13
94439,14954,27.0,B0F1GFD44G,,312.47,amazon_3p,321.64,,321.64,,,321.64,1554.8223492804252,2026-04-13
96735,15240,27.0,B0F1GF1KFC,,269.99,amazon_3p,279.99,,279.99,,,279.99,1343.4457262528306,2026-04-13
97892,15381,24.0,B0DVJ3WG52,,189.99,amazon_3p,,,189.99,,,189.99,1196.4876902844087,2026-04-13
113604,15430,42.0,B0DYQMWSKG,,887.99,amazon_3p,996.99,,996.99,,,996.99,1826.036565354184,2026-04-13
100486,15530,32.0,B0BSH3JKQB,,1608.35,amazon_3p,,,1608.35,,,,5697.4507836005705,2026-04-13
88588,15639,32.0,B0FB46P6F6,,499.99,amazon,499.99,,499.99,,,499.99,1771.174444177231,2026-04-13
113401,15684,27.0,,,,,,,,,,,,2026-04-13
117624,15807,27.0,B0FLLNVXFG,,599.99,amazon,599.99,,599.99,,,599.99,2985.4957638965734,2026-04-13
91962,15839,32.0,B0F23LR6JQ,,1289.99,amazon,1289.99,,1289.99,,,1289.99,4569.6860362090965,2026-04-13
101013,15884,27.0,B0FVPX9LFN,11288541,499.99,amazon,499.99,,499.99,,,539.99,2487.9048433984694,2026-04-13
101122,15987,27.0,B0FSDC2S6B,,1370.99,amazon_3p,,,1370.99,,,1301.99,6821.921760936953,2026-04-13
