product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,screen_area_m2,price_date
50406,10618,75.0,B0CY4QVD4C,,,,,,,,,,,1.21,2026-03-02
50406,10619,85.0,B0D3SX2PN4,,,,2657.42,,2199.98,,,2199.98,,1.56,2026-03-02
50406,10620,,B0CZ6VX5J4,,,,,,,,,,,,2026-03-02
53322,10654,65.0,,6578571,1599.99,rtings,,,,,,1599.99,1758.2307692307693,0.91,2026-03-02
53322,10655,75.0,,6578572,1999.99,rtings,,,,,,1999.99,1652.8842975206612,1.21,2026-03-02
53322,10656,85.0,,6578570,2499.99,rtings,,,,,,2499.99,1602.5576923076922,1.56,2026-03-02
53322,10657,55.0,,6578573,1399.99,rtings,,,,,,1399.99,2153.830769230769,0.65,2026-03-02
57721,10699,43.0,B0CVSK16G4,,286.84,amazon_3p,,,286.84,,,286.84,717.0999999999999,0.4,2026-03-02
57721,10700,,B0D3WG1HCS,,349.95,rtings,,,,,,349.95,,,2026-03-02
57721,10701,55.0,,6578186,279.99,rtings,,,,,,279.99,430.75384615384615,0.65,2026-03-02
57721,10702,65.0,,6578178,379.99,rtings,,,,,,379.99,417.57142857142856,0.91,2026-03-02
57721,10703,,,,749.99,rtings,,,,,,749.99,,,2026-03-02
57721,10704,,B0D3WP2JLD,,749.99,rtings,,,,,,749.99,,,2026-03-02
57721,10870,70.0,B0CVSJ3HS7,,,,,,,,,,,1.06,2026-03-02
49704,10756,55.0,,,1349.99,rtings,,,,,,1349.99,2076.9076923076923,0.65,2026-03-02
49704,10757,65.0,B0CXR1D43S,6578059,1619.99,rtings,,,,,,1619.99,1780.2087912087911,0.91,2026-03-02
49704,10758,77.0,B0CXQVQ5GQ,,2499.99,rtings,,,,,,2499.99,1953.1171874999998,1.28,2026-03-02
49704,10759,83.0,B0CWVH1XXZ,,,,,,2247.95,,,2247.95,,1.49,2026-03-02
50405,10761,,,,,,,,,,,,,,2026-03-02
50405,10762,65.0,B0CY4RD4KT,,,,,,599.0,,,599.0,,0.91,2026-03-02
50405,10763,,B0D1FQCHD2,,,,,,,,,,,,2026-03-02
50405,11082,85.0,,6579196,1039.99,rtings,,,,,,1039.99,666.6602564102564,1.56,2026-03-02
57713,10766,43.0,B0CY56VHS4,,298.0,amazon_3p,,,310.37,,,310.37,745.0,0.4,2026-03-02
57713,10767,50.0,B0CY4QPSVS,,,,,,,,,,,0.54,2026-03-02
57713,10768,55.0,B0CY4LQ851,,,,,,,,,,,0.65,2026-03-02
57713,10769,65.0,B0CY4SW14M,,,,,,,,,,,0.91,2026-03-02
57713,10770,75.0,,6577000,431.99,rtings,,,,,,431.99,357.01652892561987,1.21,2026-03-02
57713,10771,,,,,,,,,,,,,,2026-03-02
57710,10783,55.0,,,999.99,rtings,,,,,,999.99,1538.4461538461537,0.65,2026-03-02
57710,10784,65.0,,6576591,799.99,rtings,,,,,,799.99,879.1098901098901,0.91,2026-03-02
57710,10785,75.0,,,1699.99,rtings,,,,,,1699.99,1404.9504132231405,1.21,2026-03-02
57710,10786,85.0,,,2799.99,rtings,,,,,,2799.99,1794.8653846153843,1.56,2026-03-02
53321,10805,65.0,,6578568,2499.99,rtings,,,,,,2499.99,2747.241758241758,0.91,2026-03-02
53321,10806,75.0,,6578575,3299.99,rtings,,,,,,3299.99,2727.2644628099174,1.21,2026-03-02
53321,10807,85.0,,6578576,3999.99,rtings,,,,,,3999.99,2564.096153846154,1.56,2026-03-02
58889,10820,55.0,B0CVPSBMGY,6578569,1398.0,amazon,1398.0,,1398.0,,,1399.99,2150.7692307692305,0.65,2026-03-02
58889,10821,65.0,B0CVQ6YLH7,6578577,1698.0,amazon,1698.0,,1698.0,,,1699.99,1865.9340659340658,0.91,2026-03-02
58889,10822,77.0,,6578574,2499.99,rtings,,,,,,2499.99,1953.1171874999998,1.28,2026-03-02
55174,10835,65.0,B0D3WPVFBK,6578052,995.99,rtings,,,,,,995.99,1094.4945054945056,0.91,2026-03-02
55174,10836,,B0D3WN592T,,2299.99,rtings,,,,,,2299.99,,,2026-03-02
55174,10837,,B0D3X72M2M,,3299.99,rtings,,,,,,3299.99,,,2026-03-02
60898,10873,65.0,B0CZM7LZCM,,,,1348.83,,1348.83,,,1348.83,,0.91,2026-03-02
60898,10874,,,,1526.0,rtings,,,,,,1526.0,,,2026-03-02
60898,10875,85.0,B0CZM7RDTN,,,,1799.99,,,,,,,1.56,2026-03-02
60898,10876,,,,,,,,,,,,,,2026-03-02
50404,10889,55.0,B0CY4X5M8D,,,,,,,,,,,0.65,2026-03-02
50404,10890,65.0,B0D1DPL3PF,6576999,450.99,rtings,,,,,,450.99,495.5934065934066,0.91,2026-03-02
50404,10891,75.0,B0D1FMXGW5,6577014,629.99,rtings,,,,,,629.99,520.6528925619835,1.21,2026-03-02
50404,10892,85.0,B0CY4P8QRL,,,,,,,,,,,1.56,2026-03-02
53323,10928,43.0,,6578580,499.99,bestbuy,,,,499.99,499.99,499.99,1249.975,0.4,2026-03-02
53323,10929,50.0,,6578583,569.99,bestbuy,,,,569.99,599.99,569.99,1055.537037037037,0.54,2026-03-02
