amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,new_3p_price_history_points,list_price_90d_min,list_price_90d_avg,list_price_90d_max,list_price_history_points,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max
B0D682HF6R,"AOC Agon PRO 27"" QD-OLED Gaming Monitor, QHD 2560x1440, 240Hz, 0.03ms GtG, HDR400 True Black, Adaptive Sync, Height Adjustable, DisplayPort, HDMI, USB, Built-in Speakers, AG276QZD2",AOC,439.99,439.99,,439.99,452.0,439.99,485.3892857142856,499.99,753.0,439.99,472.27250000000004,496.23,1087.0,439.99,485.3892857142856,499.99
B0DM6SHQTN,"ASUS ROG Swift 27” 4K QD-OLED Gaming Monitor (PG27UCDM) - 240Hz, 0.03ms, Custom Heatsink, Neo Proximity Sensor, G-SYNC Compatible, 99% DCI-P3, True 10-bit color, DisplayPort 2.1a UHBR20, 3 yr warranty",ASUS,1099.99,1099.99,,1099.99,71.0,1054.98,1118.4377777777777,1214.99,168.0,1054.98,1093.2771428571427,1099.99,148.0,1099.0,1113.7099999999998,1199.0
B0F18Q2GPN,Dell UltraSharp U2725QE 27 Inch 4K UHD IPS Black Monitor with 120Hz and Thunderbolt 4,Dell,,643.37,,643.37,1.0,558.67,641.2357731958763,803.11,505.0,558.67,617.5836099585061,659.99,1932.0,,,
B0FDCLPZC6,"Dell UltraSharp U3225QE 31.5"" 16:9 4K Ultra HD 120Hz Thunderbolt Hub IPS Black LED HDR Monitor",Dell,,789.0,,799.99,1.0,687.97,743.15725,799.69,284.0,669.21,755.1721527777777,799.99,1104.0,,,
B0CT441B25,"BenQ PD3225U 32 Inch 4K IPS Black UHD Thunderbolt Monitor for MacBook, AQCOLOR, 98% P3, 100% sRGB & Rec.709, DeltaE ≤2, Uniformity, Factory Calibration, USB-C 85W, USB Hub, Daisy Chain, KVM Switch",BenQ,,899.99,,899.99,48.0,899.99,1099.77,1199.29,48.0,899.99,899.99,899.99,139.0,,,
B0D6C6F2L8,"ASUS ProArt Display 27” 5K HDR Professional Monitor (PA27JCV) - 5K (5120 x 2880), IPS, 99% DCI-P3, 100% sRGB, ΔE < 2, USB-C PD 96W, Calman Verified, Color Accurate, LuxPixel, 3 yr Warranty",ASUS,699.0,699.0,,699.0,118.0,699.0,755.5073333333333,824.98,159.0,699.0,738.4854545454544,788.02,244.0,699.0,748.7842857142857,799.0
B0DYG9DKX8,"LG 45GX950A-B 45-inch Ultragear 5K2K WUHD (5120 x 2160) OLED Curved Gaming Monitor, Dual-Mode, 165Hz, 0.03ms, NVIDIA G-Sync, AMD FreeSync Premium Pro, HDR True Black 400, USB Type-C 90W, DP2.1",LG,1549.99,1549.99,,1549.99,469.0,1299.0,1582.1172727272726,1849.0,1201.0,1299.0,1559.4707185628743,1999.99,2179.0,1350.18,1650.4896236559136,1999.99
B0DWBSNVHS,"Samsung 27-inch Odyssey 3D G90XF, 4K, 165Hz, Gaming Monitor, 1ms Response Time, AMD FreeSync Premium, Glasses-Free, Ergonomic Stand, LS27FG900XNXZA, 2025",Samsung,1655.99,1655.99,,1655.99,127.0,769.97,1072.6165384615383,1655.99,144.0,769.97,1035.7585000000001,1655.99,295.0,799.99,1224.7035483870966,1655.99
B0DZL719V1,"Alienware 34 Curved Gaming Monitor – AW3425DWM - 34-inch WQHD 180Hz 1ms Display, 1500R, AMD FreeSync Premium, VESA AdaptiveSync.",Alienware,289.99,289.99,,289.99,126.0,289.99,347.9920588235294,379.0,113.0,299.99,372.693125,399.99,639.0,289.99,366.86238095238093,399.99
B0F1435R1F,Alienware AW3225DM 31.5 2K WQHD 2560 X 1440 180HZ Gaming Monitor,Alienware,,369.0,,,1.0,337.99,409.82500000000005,425.0,157.0,337.99,337.99,337.99,189.0,,,
B0DVM3BJHK,"SAMSUNG 27-inch Odyssey QD-OLED G8 (G81SF), 4K, 240Hz, Gaming Monitor, 0.03ms Response Time, DisplayHDR True Black 400, AMD FreeSync™ Premium Pro, Ergonomic Stand, LS27FG810SNXZA, 2025",Samsung,899.99,899.99,,899.99,183.0,853.84,1007.9720652173913,1299.99,317.0,853.84,944.1598275862069,1299.99,771.0,865.99,1094.2571428571428,1299.99
B0DSTPTMNS,"LG 27G850A-B 27-inch Ultragear 4K UHD (3840 x 2160) IPS Gaming Monitor, Dual-Mode 240Hz, 1ms, NVIDIA G-Sync Compatible, AMD FreeSync Premium Pro, VESA DisplayHDR 600, HDMI, DisplayPort 2.1, Black",LG,,597.98,,597.98,293.0,455.0,526.3476842105265,599.99,421.0,456.61,536.5660169491525,599.99,922.0,455.0,512.5648387096775,599.99
B0F1GD9YFN,"Dell 32 Plus 4K Monitor - S3225QS - 31.5-inch 4K (3840 x 2160) up to 120Hz 16:9 Display, VA Panel, AMD FreeSync Premium, 99% sRGB, 95% DCI-P3, 1500:1 Contrast Ratio, Comfortview - Ash White",Dell,329.99,329.99,,329.99,144.0,299.99,327.1936666666667,369.0,169.0,299.99,325.68552631578933,349.99,1269.0,299.99,337.54299999999995,369.0
B0F6724X5N,"Alienware 34 240Hz QD-OLED Curved Gaming Monitor - AW3425DW - 34.2-inch WQHD (3440 x 1440) 0.03ms Display, 1800R Curve, AMD FreeSync Premium Pro, VESA AdaptiveSync, DisplayHDR TrueBlack 400",Alienware,649.99,649.99,,649.99,57.0,649.99,757.7122222222222,799.99,68.0,729.99,765.1415,799.99,153.0,649.99,758.89,799.99
B0C1SDSYV6,"Alienware 27 4K Dual-Resolution Gaming Monitor - AW2725QF - 4K at 180Hz and FHD at 360Hz, 0.5ms GTG 1ms GTG (Extreme Mode), VESA AdaptiveSync, NVIDIA G-SYNC Compatible, HDMI/DP/USB 3.2 Gen1 - Black",Alienware,399.99,399.99,,399.99,150.0,349.99,460.88508474576287,549.99,144.0,373.93,450.53312500000004,549.99,915.0,349.99,447.89549999999997,549.99
B0DWYC5S8X,"msi MPG 272URX QD-OLED 27-inch 3840 x 2160 (UHD) Computer Monitor, 240Hz, Adaptive-Synch, HDMI, DP Port, VESA Mountable, Tilt, Speaker, 0.03ms, Black",msi,849.99,849.99,,,75.0,849.99,874.99,899.99,102.0,899.99,899.9899999999999,899.99,427.0,849.99,879.99,899.99
B0F1GFD44G,"Dell 27 Plus 4K USB-C Monitor - S2725QC - 27-inch 4K (3840 x 2160) 120Hz 16:9 Display, AMD FreeSync Premium, sRGB 99%, Integrated Speakers, 1500:1 Contrast Ratio, Comfortview - Ash White",Dell,299.99,299.99,,299.99,175.0,278.99,310.89317073170736,327.47,147.0,278.99,314.7006369426752,328.71,1111.0,279.99,319.19106060606066,349.99
